Gift1 1 16 31
Gift2 2 12 31
Gift3 2 20 32
Gift4 3 12 32
Gift5 1 15 25
Gift6 2 19 26
Gift7 1 18 26
Gift8 1 21 27
Gift9 1 13 29
Gift10 2 20 33
Gift11 2 16 24
Gift12 2 21 33
Gift13 3 19 31
Gift14 2 15 27
Gift15 3 19 30
Gift16 3 17 27
Gift17 3 20 32
Gift18 2 16 29
Gift19 3 13 27
Gift20 1 12 28
Gift21 3 15 27
Gift22 2 13 33
Gift23 2 16 24
Gift24 3 17 27
Gift25 3 18 25
Gift26 1 20 28
Gift27 3 21 29
Gift28 1 21 28
Gift29 3 19 33
Gift30 1 19 29
Gift31 1 17 30
Gift32 1 21 33
Gift33 2 17 25
Gift34 2 18 28
Gift35 1 15 27
Gift36 2 14 30
Gift37 1 17 28
Gift38 2 15 29
Gift39 2 17 33
Gift40 2 17 25
Gift41 3 19 28
Gift42 1 21 27
Gift43 2 14 27
Gift44 3 19 28
Gift45 3 16 31
Gift46 1 16 31
Gift47 2 13 26
Gift48 3 13 33
Gift49 2 20 32
Gift50 2 12 33
Gift51 3 12 27
Gift52 3 18 32
Gift53 3 14 29
Gift54 3 14 33
Gift55 3 19 30
Gift56 1 21 33
Gift57 2 19 30
Gift58 3 19 26
Gift59 1 16 26
Gift60 2 12 32
Gift61 2 18 33
Gift62 1 12 30
Gift63 1 18 24
Gift64 3 13 25
Gift65 1 12 33
Gift66 2 20 24
Gift67 2 12 26
Gift68 2 16 25
Gift69 3 15 31
Gift70 2 20 31
Gift71 3 19 33
Gift72 3 17 31
Gift73 3 15 33
Gift74 2 18 31
Gift75 2 16 31
Gift76 3 13 24
Gift77 1 19 26
Gift78 1 12 30
Gift79 3 14 33
Gift80 1 18 28
Gift81 1 15 25
Gift82 2 18 25
Gift83 1 15 28
Gift84 3 15 29
Gift85 3 17 26
Gift86 2 20 30
Gift87 1 19 30
Gift88 2 19 31
Gift89 3 15 30
Gift90 2 16 32
Gift91 2 16 29
Gift92 1 20 28
Gift93 2 17 24
Gift94 2 19 30
Gift95 1 14 25
Gift96 3 14 25
Gift97 1 13 33
Gift98 3 12 31
Gift99 2 13 27
Gift100 2 15 32
